group,component,layer,mean_cos
Hindi,decoder,1,0.5348
Hindi,decoder,2,0.4289
Hindi,decoder,3,0.301
Hindi,decoder,4,0.2502
Hindi,decoder,5,0.3412
Hindi,decoder,6,0.3291
Hindi,decoder,7,0.4086
Hindi,decoder,8,0.2273
Hindi,decoder,9,0.2762
Hindi,decoder,10,0.242
Hindi,decoder,11,0.3742
Hindi,decoder,12,0.3412
Hindi,decoder,13,0.417
Hindi,decoder,14,0.2855
Hindi,decoder,15,0.4408
Hindi,decoder,16,0.3855
Hindi,decoder,17,0.3625
Hindi,decoder,18,0.4738
Hindi,decoder,19,0.4283
Hindi,decoder,20,0.4061
Hindi,decoder,21,0.3867
Hindi,decoder,22,0.4221
Hindi,decoder,23,0.4973
Hindi,decoder,24,0.4432
Hindi,decoder,25,0.3709
Hindi,decoder,26,0.3043
Hindi,decoder,27,0.2226
Hindi,decoder,28,0.2704
Hindi,decoder,29,0.3432
Hindi,decoder,30,0.177
Hindi,decoder,31,0.2959
Hindi,decoder,32,0.2865
Hindi,decoder,33,0.3221
Hindi,decoder,34,0.2282
Hindi,decoder,35,0.373
Hindi,decoder,36,0.4867
Kannada,decoder,1,0.5285
Kannada,decoder,2,0.4211
Kannada,decoder,3,0.3164
Kannada,decoder,4,0.2425
Kannada,decoder,5,0.3236
Kannada,decoder,6,0.3035
Kannada,decoder,7,0.4145
Kannada,decoder,8,0.2002
Kannada,decoder,9,0.2818
Kannada,decoder,10,0.2136
Kannada,decoder,11,0.332
Kannada,decoder,12,0.2861
Kannada,decoder,13,0.4062
Kannada,decoder,14,0.2654
Kannada,decoder,15,0.4459
Kannada,decoder,16,0.3896
Kannada,decoder,17,0.3623
Kannada,decoder,18,0.4875
Kannada,decoder,19,0.4227
Kannada,decoder,20,0.4008
Kannada,decoder,21,0.3975
Kannada,decoder,22,0.4184
Kannada,decoder,23,0.4582
Kannada,decoder,24,0.3865
Kannada,decoder,25,0.3072
Kannada,decoder,26,0.2439
Kannada,decoder,27,0.1656
Kannada,decoder,28,0.1917
Kannada,decoder,29,0.268
Kannada,decoder,30,0.1488
Kannada,decoder,31,0.1968
Kannada,decoder,32,0.2266
Kannada,decoder,33,0.2387
Kannada,decoder,34,0.1624
Kannada,decoder,35,0.2943
Kannada,decoder,36,0.4395
Sanskrit,decoder,1,0.5324
Sanskrit,decoder,2,0.4457
Sanskrit,decoder,3,0.3008
Sanskrit,decoder,4,0.2721
Sanskrit,decoder,5,0.3867
Sanskrit,decoder,6,0.3381
Sanskrit,decoder,7,0.443
Sanskrit,decoder,8,0.2341
Sanskrit,decoder,9,0.2799
Sanskrit,decoder,10,0.2547
Sanskrit,decoder,11,0.3955
Sanskrit,decoder,12,0.3539
Sanskrit,decoder,13,0.44
Sanskrit,decoder,14,0.3016
Sanskrit,decoder,15,0.4758
Sanskrit,decoder,16,0.4045
Sanskrit,decoder,17,0.383
Sanskrit,decoder,18,0.5143
Sanskrit,decoder,19,0.4383
Sanskrit,decoder,20,0.416
Sanskrit,decoder,21,0.4025
Sanskrit,decoder,22,0.4361
Sanskrit,decoder,23,0.5203
Sanskrit,decoder,24,0.4613
Sanskrit,decoder,25,0.3895
Sanskrit,decoder,26,0.3088
Sanskrit,decoder,27,0.2388
Sanskrit,decoder,28,0.2568
Sanskrit,decoder,29,0.3434
Sanskrit,decoder,30,0.1836
Sanskrit,decoder,31,0.2844
Sanskrit,decoder,32,0.2854
Sanskrit,decoder,33,0.3461
Sanskrit,decoder,34,0.2707
Sanskrit,decoder,35,0.3932
Sanskrit,decoder,36,0.5084
